date,time,open,high,low,close,volume,number_of_trades
2021-04-27,12:26 PM,115.73,115.73,115.695,115.695,1298,11
2021-04-27,12:27 PM,115.705,115.72,115.705,115.72,259,5
2021-04-27,12:28 PM,115.7,115.7,115.66,115.67,932,8
2021-04-27,12:29 PM,115.65,115.74,115.64,115.725,1717,21
2021-04-27,12:30 PM,115.765,115.81,115.735,115.81,926,11
2021-04-27,12:31 PM,115.81,115.86,115.765,115.765,2053,17
2021-04-27,12:32 PM,115.76,115.81,115.76,115.81,1108,13
2021-04-27,12:33 PM,115.84,115.84,115.76,115.76,204,8
2021-04-27,12:34 PM,115.75,115.79,115.75,115.79,107,4
2021-04-27,12:35 PM,115.87,115.87,115.83,115.83,438,6
2021-04-27,12:36 PM,115.87,115.87,115.83,115.85,335,5
2021-04-27,12:37 PM,115.85,115.85,115.85,115.85,100,1
2021-04-27,12:38 PM,115.84,115.84,115.84,115.84,101,2
2021-04-27,12:39 PM,115.82,115.82,115.78,115.78,183,3
2021-04-27,12:40 PM,115.775,115.78,115.76,115.76,500,3
2021-04-27,12:41 PM,115.765,115.765,115.74,115.74,239,4
2021-04-27,12:42 PM,115.74,115.74,115.63,115.63,1612,14
2021-04-27,12:43 PM,115.64,115.66,115.64,115.66,303,4
2021-04-27,12:44 PM,115.69,115.69,115.64,115.66,300,3
2021-04-27,12:45 PM,115.65,115.7,115.65,115.69,484,6
2021-04-27,12:46 PM,115.655,115.655,115.62,115.65,501,7
2021-04-27,12:47 PM,115.67,115.67,115.67,115.67,100,1
2021-04-27,12:48 PM,115.695,115.695,115.695,115.695,1,1
2021-04-27,12:49 PM,115.71,115.73,115.71,115.73,400,4
2021-04-27,12:50 PM,115.72,115.725,115.685,115.685,234,4
2021-04-27,12:51 PM,115.63,115.66,115.63,115.66,103,3
2021-04-27,12:52 PM,115.665,115.69,115.665,115.665,245,5
2021-04-27,12:53 PM,115.69,115.69,115.59,115.59,875,10
2021-04-27,12:54 PM,115.57,115.63,115.57,115.63,107,4
2021-04-27,12:55 PM,115.62,115.67,115.62,115.67,331,7
2021-04-27,12:56 PM,115.69,115.7,115.67,115.67,960,5
2021-04-27,12:57 PM,115.65,115.65,115.65,115.65,33,2
2021-04-27,12:58 PM,115.63,115.69,115.59,115.69,2907,26
2021-04-27,12:59 PM,115.71,115.86,115.71,115.78,3323,33
2021-04-27,1 PM,115.78,115.84,115.78,115.84,351,5
2021-04-27,1:01 PM,115.85,115.85,115.78,115.79,558,7
2021-04-27,1:02 PM,115.78,115.92,115.78,115.92,1243,12
2021-04-27,1:03 PM,115.93,115.95,115.86,115.89,1733,17
2021-04-27,1:04 PM,,,,,0,0
2021-04-27,1:05 PM,115.93,115.93,115.9,115.9,1260,9
2021-04-27,1:06 PM,115.88,115.99,115.87,115.99,617,8
2021-04-27,1:07 PM,115.98,115.98,115.96,115.96,105,6
2021-04-27,1:08 PM,115.92,115.92,115.92,115.92,206,2
2021-04-27,1:09 PM,115.94,115.94,115.91,115.91,103,3
2021-04-27,1:10 PM,115.89,115.91,115.89,115.91,203,3
2021-04-27,1:11 PM,115.88,115.88,115.84,115.84,1200,10
2021-04-27,1:12 PM,115.82,115.82,115.79,115.82,261,6
2021-04-27,1:13 PM,115.825,115.83,115.825,115.83,300,2
2021-04-27,1:14 PM,115.8,115.8,115.79,115.8,500,4
2021-04-27,1:15 PM,115.79,115.79,115.79,115.79,200,1
2021-04-27,1:16 PM,115.79,115.79,115.77,115.77,502,4
2021-04-27,1:17 PM,115.79,115.79,115.77,115.77,600,9
2021-04-27,1:18 PM,115.77,115.785,115.77,115.785,800,5
2021-04-27,1:19 PM,115.785,115.795,115.78,115.795,404,7
2021-04-27,1:20 PM,115.79,115.815,115.785,115.815,619,13
2021-04-27,1:21 PM,115.845,115.89,115.845,115.86,2179,11
2021-04-27,1:22 PM,115.835,115.85,115.835,115.85,347,5
2021-04-27,1:23 PM,115.85,115.855,115.85,115.85,251,5
2021-04-27,1:24 PM,115.845,115.845,115.825,115.825,34,4
2021-04-27,1:25 PM,115.825,115.855,115.825,115.855,251,9
2021-04-27,1:26 PM,115.82,115.82,115.82,115.82,60,1
2021-04-27,1:27 PM,115.84,115.84,115.84,115.84,400,3
2021-04-27,1:28 PM,115.85,115.875,115.85,115.875,20,2
2021-04-27,1:29 PM,115.875,115.91,115.875,115.91,151,4
2021-04-27,1:30 PM,115.92,115.95,115.92,115.935,532,9
2021-04-27,1:31 PM,115.94,115.97,115.925,115.97,603,10
2021-04-27,1:32 PM,115.97,115.97,115.93,115.935,552,14
2021-04-27,1:33 PM,115.93,115.93,115.905,115.905,376,11
2021-04-27,1:34 PM,115.905,115.925,115.905,115.925,236,6
2021-04-27,1:35 PM,115.95,115.95,115.93,115.95,264,11
2021-04-27,1:36 PM,115.96,115.96,115.95,115.96,3623,9
2021-04-27,1:37 PM,115.96,115.99,115.96,115.99,338,10
2021-04-27,1:38 PM,115.99,116.035,115.98,116.035,196,11
