date,time,open,high,low,close,volume,number_of_trades
2021-04-28,2:21 PM,112.24,112.255,112.24,112.255,749,13
2021-04-28,2:22 PM,112.28,112.31,112.27,112.27,411,6
2021-04-28,2:23 PM,112.29,112.29,112.24,112.24,281,10
2021-04-28,2:24 PM,112.26,112.33,112.26,112.31,1191,20
2021-04-28,2:25 PM,112.34,112.36,112.31,112.315,1942,20
2021-04-28,2:26 PM,112.315,112.38,112.315,112.37,582,9
2021-04-28,2:27 PM,112.39,112.42,112.37,112.37,769,14
2021-04-28,2:28 PM,112.38,112.38,112.23,112.25,1748,19
2021-04-28,2:29 PM,112.25,112.255,112.21,112.255,199,14
2021-04-28,2:30 PM,112.26,112.26,112.195,112.21,276,14
2021-04-28,2:31 PM,112.21,112.21,112.18,112.19,478,12
2021-04-28,2:32 PM,112.14,112.14,112.07,112.085,2475,27
2021-04-28,2:33 PM,112.09,112.095,112.03,112.09,1107,17
2021-04-28,2:34 PM,112.08,112.095,112.035,112.035,2232,11
2021-04-28,2:35 PM,112.035,112.13,111.99,112.07,1997,26
2021-04-28,2:36 PM,112.08,112.18,112.08,112.15,710,19
2021-04-28,2:37 PM,112.24,112.48,112.24,112.39,2911,27
2021-04-28,2:38 PM,112.43,112.45,112.29,112.31,1606,18
2021-04-28,2:39 PM,112.35,112.39,112.35,112.355,1197,14
2021-04-28,2:40 PM,112.405,112.405,112.35,112.36,1619,26
2021-04-28,2:41 PM,112.37,112.41,112.37,112.39,3338,34
2021-04-28,2:42 PM,112.41,112.41,112.32,112.355,1058,24
2021-04-28,2:43 PM,112.41,112.42,112.39,112.42,791,12
2021-04-28,2:44 PM,112.38,112.415,112.38,112.395,313,10
